source,target,weight
Ozuna,Nicky Jam,3
Ozuna,Ele A el Dominio,3
Ozuna,GIMS,2
Ozuna,RedOne,2
Ozuna,Guelo Star,2
Myke Towers,Jhayco,7
Myke Towers,Yandel,3
Myke Towers,Tainy,4
Justin Quiles,Nicky Jam,3
Justin Quiles,Fuego,2
Justin Quiles,Feid,3
Jhayco,Alex Rose,3
Jhayco,Los Legendarios,3
Jhayco,Wisin,3
Jhayco,Brray,3
Jhayco,Eladio Carrión,2
Jhayco,Sky Rompiendo,2
Jhayco,Mora,2
Jhayco,Ryan Castro,2
Jhayco,Tainy,4
Wisin,Cosculluela,5
Wisin,KEVVO,2
Wisin,Beéle,2
Wisin,IAmChino,3
Wisin,Mohombi,2
Wisin,Chacal,3
Wisin,Jennifer Lopez,2
Brray,KEVVO,2
Sky Rompiendo,Feid,7
Jon Z,KEVVO,3
El Taiger,Nesty,2
El Taiger,Lenier,2
Lenier,IAmChino,4
Lenier,Chacal,13
Cosculluela,Syko el Terror,5
Cosculluela,Franco “El Gorila”,4
Cosculluela,Mueka,3
Cosculluela,Chyno Nyno,3
Cosculluela,Jowell & Randy,2
Cosculluela,Guelo Star,3
Cosculluela,Ñejo,3
Cosculluela,Zion,3
Cosculluela,Nicky Jam,2
Franco “El Gorila”,Yandel,2
Jowell & Randy,Guelo Star,10
Jowell & Randy,De La Ghetto,8
Jowell & Randy,J King & Maximan,7
Jowell & Randy,Baby Rasta & Gringo,3
Jowell & Randy,Maicol y Manuel,3
Jowell & Randy,Chencho Corleone,3
Jowell & Randy,Tito “El Bambino”,2
Jowell & Randy,Arcángel & De La Ghetto,2
Jowell & Randy,Daddy Yankee,2
Jowell & Randy,Maldy,2
Zion,Nicky Jam,2
Zion,Tainy,2
Zion,衣笠彰梧,96
Zion,Zion Jang,96
KAROL G,Tiësto,5
KAROL G,El Chombo,4
KAROL G,Cutty Ranks,4
KAROL G,El Pitbull,3
KAROL G,Lafame,2
KAROL G,Feid,2
KAROL G,Ovy on the Drums,2
KAROL G,Maluma,2
