artist1,artist2
Enrique Iglesias,Bad Bunny
Mora,Bad Bunny
Revol,Bad Bunny
Revol,Arcángel & De La Ghetto
Revol,J Balvin
Bad Bunny,Arcángel & De La Ghetto
Bad Bunny,J Balvin
Arcángel & De La Ghetto,J Balvin
Farruko,Arcángel
Farruko,Ozuna
Farruko,Bad Bunny
Farruko,Ñengo Flow
Arcángel,Ozuna
Arcángel,Bad Bunny
Arcángel,Ñengo Flow
Ozuna,Bad Bunny
Ozuna,Ñengo Flow
Bad Bunny,Ñengo Flow
Cardi B,Bad Bunny
Cardi B,J Balvin
Bad Bunny,J Balvin
Bad Bunny,Jhayco
Enrique Iglesias,Bad Bunny
Enrique Iglesias,Natti Natasha
Bad Bunny,Natti Natasha
Bad Bunny,Gabriela Berlingeri
Musicólogo & Menes,Bad Bunny
Nicky Jam,Ozuna
Nicky Jam,Bad Bunny
Ozuna,Bad Bunny
Bad Bunny,Lady Gaga
Musicólogo & Menes,Bad Bunny
Bad Bunny,Jhayco
Bad Bunny,Yandel
Bad Bunny,Yandel
Noriel,Bad Bunny
Noriel,Arcángel
Bad Bunny,Arcángel
Farruko,Bad Bunny
Farruko,Lary Over
Bad Bunny,Lary Over
Bad Bunny,Ñengo Flow
Bad Bunny,Anuel AA
Cardi B,Bad Bunny
Cardi B,W&W
Cardi B,J Balvin
Cardi B,Vini Vici
Bad Bunny,W&W
Bad Bunny,J Balvin
Bad Bunny,Vini Vici
W&W,J Balvin
W&W,Vini Vici
J Balvin,Vini Vici
Bad Bunny,Myke Towers
Drake,Bad Bunny
Bad Bunny,Jhayco
Jory Boy,Lary Over
Jory Boy,Almighty
Jory Boy,Alexio
Jory Boy,Pusho
Jory Boy,Bad Bunny
Jory Boy,Sou el Flotador
Lary Over,Almighty
Lary Over,Alexio
Lary Over,Pusho
Lary Over,Bad Bunny
Lary Over,Sou el Flotador
Almighty,Alexio
Almighty,Pusho
Almighty,Bad Bunny
Almighty,Sou el Flotador
Alexio,Pusho
Alexio,Bad Bunny
