artist,success_score
Kirk Franklin,0.08334517545456405
Krondon,0.08296958198782055
Nicky Romero,0.08278473566208201
NERVO,0.08258053785223783
Missy Elliott,0.08219304739050429
Tinie Tempah,0.08182351988322412
José Feliciano,0.08136676261864943
The Jacka,0.081248480219528
Sonu Nigam,0.08117363688039403
Poison Pen,0.08092490140647707
Tom Morello,0.08085417843112543
Lil’ KeKe,0.08065346024980652
Diljit Dosanjh,0.08046180021877898
MF DOOM,0.08042875303362401
Shilpa Rao,0.08021873602257998
Master P,0.08018176299325419
Mase,0.08004418075962676
Boldy James,0.07996453706234648
Martin Solveig,0.07974687732624687
Idina Menzel,0.07970213287658182
J King & Maximan,0.07960039299184098
Marracash,0.07928432012387236
Naomi Raine,0.07874534895410415
Anushka Manchanda,0.0786733589483168
Mohombi,0.0785606348387361
Bad Azz,0.0784976699010523
JID,0.07847071151045687
Tituss Burgess,0.07837026656565184
Scorcher,0.07827531470074306
Bizarre,0.07806353305977055
El da Sensei,0.07709593136448223
Romy,0.07658414257402879
Recognize Ali,0.07634545182859098
Becky Hill,0.07627798243857818
Rakaa Iriscience,0.0762332671506186
Ensi,0.07619219508272701
Daphne Rubin‐Vega,0.0759262387978002
Tulsi Kumar,0.07548572051891612
MNEK,0.07512282232588785
Night Skinny,0.07505438074009256
Frisco,0.07450474573649381
Jay’Ton,0.07450051571867679
Asher Roth,0.07374664774302744
Jubin Nautiyal,0.0734481936432819
Grady Tate,0.07344749682950322
CamelPhat,0.07303149795896592
Suzanne D’Mello,0.07282247945726156
Macaco,0.07271197905310985
Wizkid,0.07227637287769212
Lil Baby,0.07205335914243186
Juan Magán,0.07127711441590996
Anne‐Marie,0.07084575483676955
Chase & Status,0.07073253526854219
Gudda Gudda,0.07063999742527143
Neha Kakkar,0.07026464420270233
Crystal Waters,0.06952171278662156
Mika Singh,0.06923999521823515
Dru Down,0.0692389946517878
Ivan Gough,0.06878626820306079
Nutso,0.06872636576265326
Bounty Killer,0.06862351793868286
Ben Glassberg,0.06843829288226622
Feenixpawl,0.06758201298314195
Wordsworth,0.06714905864656319
C‐Bo,0.06707251590885982
Torae,0.06689887428730903
Zion I,0.06675143420859243
Philthy Rich,0.0666658541519023
Carl Cox,0.06663089188948777
Boston Symphony Orchestra,0.06655241644295022
Oliver Heldens,0.06633191416548442
Riko Dan,0.06626815818439041
Kathryn Hahn,0.0661970762205385
Lady Leshurr,0.06614420353836238
Big Pokey,0.06600020376488164
Demrick,0.06545005354045887
Harry “Sweets” Edison,0.06529525031825587
London Philharmonic Orchestra,0.06527093370836506
Jules Buckley,0.064979044489271
Steve Angello,0.06482968716291088
Showtek,0.06464523694556093
Lil’ Boss,0.06462597202778494
Lil’ B,0.06443015067840702
AG,0.06352900923799369
Willie Nelson,0.06262453511531202
